## 符号翻转双向探针（I=1.0 × 200 tick）

| 数据/变体 | ti | 总放电 | 下行组放电 | 视叶组放电 | avgTick(ms) | Top4 组 |
|---|---|---|---|---|---|---|
| FlyWire 标准版(glut兴奋) | 3 | 447219 | 3810 | 2860 | 3.4 | GENERIC_CENTRAL:181631 MB_KC:103093 OLF_ORN_FOOD:58033 CX_PFN:30722 |
| FlyWire 标准版(glut兴奋) | 4 | 1265998 | 25730 | 405788 | 5.9 | GENERIC_CENTRAL:413687 VIS_ME:405788 MB_KC:144704 OLF_ORN_FOOD:53466 |
| FlyWire 变体(glut抑制) | 3 | 222036 | 30 | 0 | 2.1 | MB_KC:97835 OLF_ORN_FOOD:59418 GENERIC_CENTRAL:33410 OLF_PN:10858 |
| FlyWire 变体(glut抑制) | 4 | 291831 | 113 | 0 | 2.1 | MB_KC:134560 GENERIC_CENTRAL:55931 OLF_ORN_FOOD:55521 LH_APP:15017 |
| MaleCNS 标准版(glut抑制) | 3 | 235638 | 11 | 0 | 2.7 | MB_KC:84437 OLF_ORN:72876 CB_INTRINSIC:37091 OLF_PN:15664 |
| MaleCNS 标准版(glut抑制) | 4 | 331336 | 75 | 2 | 2.9 | MB_KC:133067 OLF_ORN:69568 CB_INTRINSIC:68551 OLF_PN:21586 |
| MaleCNS 变体(glut兴奋) | 3 | 492145 | 1025 | 41 | 4.2 | CB_INTRINSIC:200911 MB_KC:95053 OLF_ORN:72472 CX:62343 |
| MaleCNS 变体(glut兴奋) | 4 | 1797262 | 19004 | 553863 | 7.5 | CB_INTRINSIC:567354 VIS_OL:553863 MB_KC:147373 VIS_VPN:114510 |

探针完成。
